block_height,block_index,total,fees,size,gas_limit,gas_used,gas_price,gas_tip_cap,gas_fee_cap,confirmed,received,ver,double_spend,vin_sz,vout_sz,confirmations,confidence,Label
5659116,3,5.86E+17,1.05E+15,113,21000,21000,50000000000,50000000000,50000000000,1526981753,1526981699,0,0,1,1,9105688,1,1
5679819,51,5.85E+17,8.61E+14,110,21000,21000,41000000000,41000000000,41000000000,1527299634,1527299625,0,0,1,1,9084985,1,1
5686368,91,9.48E+17,1.05E+15,113,21000,21000,50000000000,50000000000,50000000000,1527399806,1527399806,0,0,1,1,9078436,1,1
5696896,264,9.47E+17,2.31E+14,110,21000,21000,11000000000,11000000000,11000000000,1527559105,1527557534,0,0,1,1,9067908,1,1
4979333,17,4.50E+17,9.45E+14,110,21000,21000,45000000000,45000000000,45000000000,1516983863,1516983861,0,0,1,1,9810136,1,1
4979475,32,7.38E+15,9.45E+14,109,21000,21000,45000000000,45000000000,45000000000,1516985797,1516985781,0,0,1,1,9809994,1,1
4979605,2,9.94E+16,9.45E+14,110,21000,21000,45000000000,45000000000,45000000000,1516987526,1516987524,0,0,1,1,9809864,1,1
4979773,51,6.92E+15,9.45E+14,109,21000,21000,45000000000,45000000000,45000000000,1516989970,1516989948,0,0,1,1,9809696,1,1
4981857,48,4.55E+15,9.45E+14,109,21000,21000,45000000000,45000000000,45000000000,1517020079,1517020079,0,0,1,1,9807612,1,1
4981935,50,2.31E+15,9.45E+14,109,21000,21000,45000000000,45000000000,45000000000,1517021137,1517021137,0,0,1,1,9807534,1,1
4982023,227,3.68E+15,6.30E+14,109,21000,21000,30000000000,30000000000,30000000000,1517022494,1517022491,0,0,1,1,9807446,1,1
4982190,56,1.43E+16,6.30E+14,109,21000,21000,30000000000,30000000000,30000000000,1517024992,1517024967,0,0,1,1,9807279,1,1
4982212,108,7.02E+15,6.30E+14,109,21000,21000,30000000000,30000000000,30000000000,1517025337,1517025337,0,0,1,1,9807257,1,1
4982218,124,4.99E+15,6.30E+14,109,21000,21000,30000000000,30000000000,30000000000,1517025435,1517025394,0,0,1,1,9807251,1,1
4982290,50,9.14E+15,6.30E+14,109,21000,21000,30000000000,30000000000,30000000000,1517026500,1517026500,0,0,1,1,9807179,1,1
4982642,65,8.12E+15,6.30E+14,109,21000,21000,30000000000,30000000000,30000000000,1517031252,1517031245,0,0,1,1,9806827,1,1
